                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75282,                0.55545,                 1.0725,                0.89995,                0.97564,                0.95192,                0.78471,                0.69818,                0.57802,                 1.1619,              0.0092987,              0.0092987,              0.0092987
                     36,                0.74879,                 0.5502,                 1.0818,                0.91524,                0.96714,                0.97716,                0.78415,                0.71977,                0.51882,                 1.1986,              0.0092781,              0.0092781,              0.0092781
                     37,                 0.7802,                 0.5552,                 1.0963,                0.93001,                0.97143,                0.97252,                0.79163,                0.67087,                0.54681,                 1.1476,              0.0092575,              0.0092575,              0.0092575
                     38,                0.76004,                0.52661,                 1.0702,                0.77716,                0.78515,                0.86724,                0.61227,                 1.1232,                0.99751,                 1.9013,              0.0092369,              0.0092369,              0.0092369
                     39,                0.73023,                0.52766,                 1.0724,                0.86963,                0.89261,                 0.9314,                  0.705,                0.90209,                0.92054,                 1.4288,              0.0092163,              0.0092163,              0.0092163
                     40,                0.75537,                0.54926,                 1.0829,                0.81599,                 0.8535,                0.91456,                0.71377,                0.77505,                0.78145,                 1.2835,              0.0091956,              0.0091956,              0.0091956
                     41,                 0.7748,                0.55623,                 1.0925,                0.81215,                0.88586,                 0.9305,                0.71389,                0.84313,                0.72688,                 1.3606,               0.009175,               0.009175,               0.009175
                     42,                0.74099,                0.52012,                 1.0752,                0.92326,                0.90015,                 0.9591,                 0.8026,                0.68693,                0.53082,                 1.1721,              0.0091544,              0.0091544,              0.0091544
                     43,                 0.7269,                 0.5114,                 1.0473,                0.87952,                0.91107,                 0.9345,                  0.754,                0.69109,                0.55562,                 1.1703,              0.0091337,              0.0091337,              0.0091337
                     44,                0.75937,                0.51588,                 1.0861,                0.90473,                0.92685,                0.94039,                 0.7619,                0.68059,                0.53589,                 1.1458,              0.0091131,              0.0091131,              0.0091131
                     45,                0.74193,                0.53606,                 1.0561,                0.93749,                 0.9219,                0.94136,                0.76412,                0.69458,                0.48403,                 1.1525,              0.0090925,              0.0090925,              0.0090925
                     46,                0.73677,                0.51461,                 1.0511,                0.92685,                0.89941,                0.95204,                0.79089,                0.69168,                0.46507,                 1.1443,              0.0090719,              0.0090719,              0.0090719
                     47,                0.76588,                 0.5454,                  1.079,                0.89249,                0.91242,                0.94378,                0.78341,                0.70815,                0.49099,                 1.1619,              0.0090513,              0.0090513,              0.0090513
                     48,                 0.6923,                0.47264,                 1.0339,                 0.8825,                 0.9119,                0.91624,                0.74898,                0.73449,                0.54833,                 1.1869,              0.0090306,              0.0090306,              0.0090306
                     49,                0.73348,                0.52701,                 1.0644,                0.92205,                0.93134,                0.93128,                0.77196,                 0.6622,                0.50106,                 1.1395,                0.00901,                0.00901,                0.00901
                     50,                0.71253,                0.49621,                 1.0366,                 0.9423,                0.92819,                0.94634,                0.77208,                0.66109,                0.47258,                 1.1322,              0.0089894,              0.0089894,              0.0089894
                     51,                0.68716,                0.47691,                 1.0543,                0.91001,                0.92794,                0.94367,                0.78352,                0.66449,                0.47695,                 1.1238,              0.0089688,              0.0089688,              0.0089688
                     52,                 0.6804,                0.48831,                  1.046,                0.87864,                0.94071,                 0.9417,                0.77466,                0.65046,                0.51656,                 1.1232,              0.0089481,              0.0089481,              0.0089481
                     53,                0.71214,                0.49576,                 1.0456,                0.91387,                0.95867,                 0.9691,                0.79763,                0.69053,                 0.5818,                 1.1581,              0.0089275,              0.0089275,              0.0089275
                     54,                0.71656,                 0.5155,                 1.0472,                0.93612,                0.96469,                0.96222,                  0.782,                0.70635,                0.66876,                 1.1751,              0.0089069,              0.0089069,              0.0089069
                     55,                0.70746,                0.48781,                  1.069,                0.93496,                0.96369,                 0.9908,                 0.7972,                0.67073,                0.46998,                 1.1659,              0.0088863,              0.0088863,              0.0088863
                     56,                0.70344,                0.49448,                 1.0455,                0.89624,                0.95955,                0.96812,                 0.7675,                0.68962,                0.46996,                 1.2041,              0.0088656,              0.0088656,              0.0088656
                     57,                 0.6815,                0.48381,                 1.0364,                0.92997,                0.87182,                0.92848,                0.75257,                0.68979,                0.61513,                 1.1905,               0.008845,               0.008845,               0.008845
                     58,                0.70218,                0.48118,                 1.0354,                0.93275,                0.98142,                0.97714,                  0.783,                0.68924,                0.48604,                 1.2082,              0.0088244,              0.0088244,              0.0088244
